25|10|20|0.1000000000000000055511151231257827021182|0.5|0.5|1071788950316887612879292451976365269539391427948217945748428659630757368.5588298
25|10|20|0.2999999999999999888977697537484345957637|0.5|0.5|181871780376391020465289930491546325265418593893297939392033377631187.81494282357
25|10|20|0.5999999999999999777955395074968691915274|0.5|0.5|5618363890794001231999144928056726974926652162388764650241771904.8501724764432081
25|10|20|1.0|0.5|0.5|160771792804548283764491297761900101127037881931309902998390.00671180119831194007
25|10|20|3.0|0.5|0.5|219901995356623870644376625703865797522277805404.72303635443697133303892168966782
25|10|20|6.0|0.5|0.5|1642163124285661159182408292758924236266.2968064415576139281981286490755692262749
25|10|20|9.0|0.5|0.5|9490770503397819069953448239890317.3720880368506017796562764996149389364153953664
25|10|20|99.0|0.5|0.5|0.01078708963212913060363595118109532796480175455020670764881533490240394499341656
25|10|20|999.0|0.5|0.5|1.3626709038161414656835147360396242317592351133771708837339285420177253836681728e-39
25|10|20|9999.0|0.5|0.5|1.3946939585465047240513013745655943503785836302475605559020224170517692574372801e-76
